test_id,run_id,input_text,latency,total_tokens,input_tokens,output_tokens,confidence,flake_reason,guardrail_intervened,timestamp
1,1,Extract details from sample text here.,,0,0,0,0.0,"An error occurred (ValidationException) when calling the Converse operation: The model returned the following errors: output_config.format.schema: For 'number' type, properties maximum, minimum are not supported",False,2026-03-16 18:30:14
1,2,Extract details from sample text here.,,0,0,0,0.0,"An error occurred (ValidationException) when calling the Converse operation: The model returned the following errors: output_config.format.schema: For 'number' type, properties maximum, minimum are not supported",False,2026-03-16 18:30:14
2,1,Extract details from sample text here.,,0,0,0,0.0,"An error occurred (ValidationException) when calling the Converse operation: The model returned the following errors: output_config.format.schema: For 'number' type, properties maximum, minimum are not supported",False,2026-03-16 18:30:15
2,2,Extract details from sample text here.,,0,0,0,0.0,"An error occurred (ValidationException) when calling the Converse operation: The model returned the following errors: output_config.format.schema: For 'number' type, properties maximum, minimum are not supported",False,2026-03-16 18:30:15
3,1,Extract details from sample text here.,,0,0,0,0.0,"An error occurred (ValidationException) when calling the Converse operation: The model returned the following errors: output_config.format.schema: For 'number' type, properties maximum, minimum are not supported",False,2026-03-16 18:30:15
3,2,Extract details from sample text here.,,0,0,0,0.0,"An error occurred (ValidationException) when calling the Converse operation: The model returned the following errors: output_config.format.schema: For 'number' type, properties maximum, minimum are not supported",False,2026-03-16 18:30:16
4,1,Extract details from sample text here.,,0,0,0,0.0,"An error occurred (ValidationException) when calling the Converse operation: The model returned the following errors: output_config.format.schema: For 'number' type, properties maximum, minimum are not supported",False,2026-03-16 18:30:16
4,2,Extract details from sample text here.,,0,0,0,0.0,"An error occurred (ValidationException) when calling the Converse operation: The model returned the following errors: output_config.format.schema: For 'number' type, properties maximum, minimum are not supported",False,2026-03-16 18:30:16
5,1,Extract details from sample text here.,,0,0,0,0.0,"An error occurred (ValidationException) when calling the Converse operation: The model returned the following errors: output_config.format.schema: For 'number' type, properties maximum, minimum are not supported",False,2026-03-16 18:30:17
5,2,Extract details from sample text here.,,0,0,0,0.0,"An error occurred (ValidationException) when calling the Converse operation: The model returned the following errors: output_config.format.schema: For 'number' type, properties maximum, minimum are not supported",False,2026-03-16 18:30:17
6,1,Extract details from sample text here.,,0,0,0,0.0,"An error occurred (ValidationException) when calling the Converse operation: The model returned the following errors: output_config.format.schema: For 'number' type, properties maximum, minimum are not supported",False,2026-03-16 18:30:17
6,2,Extract details from sample text here.,,0,0,0,0.0,"An error occurred (ValidationException) when calling the Converse operation: The model returned the following errors: output_config.format.schema: For 'number' type, properties maximum, minimum are not supported",False,2026-03-16 18:30:17
7,1,Extract details from sample text here.,,0,0,0,0.0,"An error occurred (ValidationException) when calling the Converse operation: The model returned the following errors: output_config.format.schema: For 'number' type, properties maximum, minimum are not supported",False,2026-03-16 18:30:18
7,2,Extract details from sample text here.,,0,0,0,0.0,"An error occurred (ValidationException) when calling the Converse operation: The model returned the following errors: output_config.format.schema: For 'number' type, properties maximum, minimum are not supported",False,2026-03-16 18:30:18
8,1,Extract details from sample text here.,,0,0,0,0.0,"An error occurred (ValidationException) when calling the Converse operation: The model returned the following errors: output_config.format.schema: For 'number' type, properties maximum, minimum are not supported",False,2026-03-16 18:30:19
8,2,Extract details from sample text here.,,0,0,0,0.0,"An error occurred (ValidationException) when calling the Converse operation: The model returned the following errors: output_config.format.schema: For 'number' type, properties maximum, minimum are not supported",False,2026-03-16 18:30:19
