test_id,run_id,input_text,latency,total_tokens,input_tokens,output_tokens,confidence,flake_reason,guardrail_intervened,timestamp
1,1,Extract details from sample text here.,,0,0,0,0.0,"An error occurred (ValidationException) when calling the Converse operation: The model returned the following errors: output_config.format.schema: For 'number' type, properties maximum, minimum are not supported",False,2026-03-16 18:27:09
1,2,Extract details from sample text here.,,0,0,0,0.0,"An error occurred (ValidationException) when calling the Converse operation: The model returned the following errors: output_config.format.schema: For 'number' type, properties maximum, minimum are not supported",False,2026-03-16 18:27:09
2,1,Extract details from sample text here.,,0,0,0,0.0,"An error occurred (ValidationException) when calling the Converse operation: The model returned the following errors: output_config.format.schema: For 'number' type, properties maximum, minimum are not supported",False,2026-03-16 18:27:09
2,2,Extract details from sample text here.,,0,0,0,0.0,"An error occurred (ValidationException) when calling the Converse operation: The model returned the following errors: output_config.format.schema: For 'number' type, properties maximum, minimum are not supported",False,2026-03-16 18:27:10
3,1,Extract details from sample text here.,,0,0,0,0.0,"An error occurred (ValidationException) when calling the Converse operation: The model returned the following errors: output_config.format.schema: For 'number' type, properties maximum, minimum are not supported",False,2026-03-16 18:27:10
3,2,Extract details from sample text here.,,0,0,0,0.0,"An error occurred (ValidationException) when calling the Converse operation: The model returned the following errors: output_config.format.schema: For 'number' type, properties maximum, minimum are not supported",False,2026-03-16 18:27:10
4,1,Extract details from sample text here.,,0,0,0,0.0,"An error occurred (ValidationException) when calling the Converse operation: The model returned the following errors: output_config.format.schema: For 'number' type, properties maximum, minimum are not supported",False,2026-03-16 18:27:11
4,2,Extract details from sample text here.,,0,0,0,0.0,"An error occurred (ValidationException) when calling the Converse operation: The model returned the following errors: output_config.format.schema: For 'number' type, properties maximum, minimum are not supported",False,2026-03-16 18:27:12
5,1,Extract details from sample text here.,,0,0,0,0.0,"An error occurred (ValidationException) when calling the Converse operation: The model returned the following errors: output_config.format.schema: For 'number' type, properties maximum, minimum are not supported",False,2026-03-16 18:27:12
5,2,Extract details from sample text here.,,0,0,0,0.0,"An error occurred (ValidationException) when calling the Converse operation: The model returned the following errors: output_config.format.schema: For 'number' type, properties maximum, minimum are not supported",False,2026-03-16 18:27:12
6,1,Extract details from sample text here.,,0,0,0,0.0,"An error occurred (ValidationException) when calling the Converse operation: The model returned the following errors: output_config.format.schema: For 'number' type, properties maximum, minimum are not supported",False,2026-03-16 18:27:12
6,2,Extract details from sample text here.,,0,0,0,0.0,"An error occurred (ValidationException) when calling the Converse operation: The model returned the following errors: output_config.format.schema: For 'number' type, properties maximum, minimum are not supported",False,2026-03-16 18:27:13
7,1,Extract details from sample text here.,,0,0,0,0.0,"An error occurred (ValidationException) when calling the Converse operation: The model returned the following errors: output_config.format.schema: For 'number' type, properties maximum, minimum are not supported",False,2026-03-16 18:27:13
7,2,Extract details from sample text here.,,0,0,0,0.0,"An error occurred (ValidationException) when calling the Converse operation: The model returned the following errors: output_config.format.schema: For 'number' type, properties maximum, minimum are not supported",False,2026-03-16 18:27:14
8,1,Extract details from sample text here.,,0,0,0,0.0,"An error occurred (ValidationException) when calling the Converse operation: The model returned the following errors: output_config.format.schema: For 'number' type, properties maximum, minimum are not supported",False,2026-03-16 18:27:14
8,2,Extract details from sample text here.,,0,0,0,0.0,"An error occurred (ValidationException) when calling the Converse operation: The model returned the following errors: output_config.format.schema: For 'number' type, properties maximum, minimum are not supported",False,2026-03-16 18:27:14
